Valeur,Occurrences,Pourcentage
.mov,23895,40.3
.png,12045,20.32
.nef,4335,7.31
.tweet,4027,6.79
.heic,3985,6.9
.jpg,3439,5.08
.pdf,1317,2.22
.xmp,1035,1.75
.psd,687,1.15
.blend,623,1.05
.jpeg,581,0.98
.ai,445,0.75
.prproj,349,0.59
.svg,291,0.49
.mp4,261,0.44
.mp4,229,0.39
.indd,216,0.36
.tif,139,0.23
.toe,127,0.21
.blend1,121,0.2
.dng,85,0.14
.dwg,70,0.12
.meta,65,0.11
.pek,64,0.11
.webp,62,0.1
.mp3,59,0.1
.fbx,56,0.09
.obj,46,0.08
(autre),641,1.08
