Extension;Nb_fichiers;%_fichiers;Taille_totale_ko;%_poids;Taille_moyenne_ko
pdf;6;0.14;0.0;-0.0;0.0
png;1;0.02;0.0;-0.0;0.0
toe;3;0.07;0.0;-0.0;0.0
tweet;4027;93.39;0.0;-0.0;0.0
unknown;267;6.19;0.0;-0.0;0.0
mov;8;0.19;-376108.0;100.0;-47013.5
